day,time
2016-12-12-15-11-02,0m37.539s
2016-12-12-15-22-02,0m38.157s
2016-12-12-15-33-01,0m55.753s
2016-12-12-15-44-01,0m40.015s
2016-12-12-15-55-01,0m36.754s
2016-12-12-16-11-02,0m31.072s
2016-12-12-16-22-01,1m4.940s
2016-12-12-16-33-01,0m55.217s
2016-12-12-16-44-01,0m37.844s
2016-12-12-16-55-01,0m29.277s
2016-12-12-17-11-01,0m30.866s
2016-12-12-17-22-01,0m30.671s
2016-12-12-17-33-01,0m30.149s
2016-12-12-17-44-02,0m32.907s
2016-12-12-17-55-01,0m33.591s
2016-12-12-18-11-01,0m34.451s
2016-12-12-18-22-01,0m27.990s
2016-12-12-18-33-02,0m30.382s
2016-12-12-18-44-01,0m31.105s
2016-12-12-18-55-01,0m28.010s
2016-12-12-19-11-01,0m32.007s
2016-12-12-19-22-01,0m30.808s
2016-12-12-19-33-01,0m36.497s
2016-12-12-19-44-01,0m32.031s
2016-12-12-19-55-01,0m31.061s
2016-12-12-20-11-01,0m32.936s
2016-12-12-20-22-01,0m29.741s
2016-12-12-20-33-01,0m31.498s
2016-12-12-20-44-02,0m31.015s
2016-12-12-20-55-01,0m31.801s
2016-12-13-08-11-01,0m28.934s
2016-12-13-08-22-01,0m30.483s
2016-12-13-08-33-01,0m30.990s
2016-12-13-08-44-01,0m29.916s
2016-12-13-08-55-01,0m36.558s
2016-12-13-09-11-02,0m30.549s
2016-12-13-09-22-01,0m31.713s
2016-12-13-09-33-01,0m37.707s
2016-12-13-09-44-01,0m33.967s
2016-12-13-09-55-01,0m30.178s
2016-12-13-10-11-01,0m28.695s
2016-12-13-10-22-01,0m34.717s
2016-12-13-10-33-01,0m31.426s
2016-12-13-10-44-02,0m34.483s
2016-12-13-10-55-01,0m31.848s
2016-12-13-11-11-01,0m43.062s
2016-12-13-11-22-01,0m28.022s
2016-12-13-11-33-02,0m31.368s
2016-12-13-11-44-01,0m29.020s
2016-12-13-11-55-01,0m38.795s
2016-12-13-12-11-01,0m34.859s
2016-12-13-12-22-01,0m38.488s
2016-12-13-12-33-01,0m30.647s
2016-12-13-12-44-02,1m46.705s
2016-12-13-12-55-01,1m52.367s
2016-12-13-13-11-02,0m46.673s
2016-12-13-13-22-02,0m31.082s
2016-12-13-13-33-01,0m51.551s
2016-12-13-13-44-02,0m42.987s
2016-12-13-13-55-02,0m30.381s
2016-12-13-14-11-01,0m30.456s
2016-12-13-14-22-01,0m33.011s
2016-12-13-14-33-01,0m43.441s
2016-12-13-14-44-02,0m30.113s
2016-12-13-14-55-02,0m30.265s
2016-12-13-15-11-01,0m48.788s
2016-12-13-15-22-01,0m29.794s
2016-12-13-15-33-01,0m33.735s
2016-12-13-15-44-01,0m31.546s
2016-12-13-15-55-01,0m34.771s
2016-12-13-16-11-01,0m49.590s
2016-12-13-16-22-01,0m30.096s
2016-12-13-16-33-02,0m35.211s
2016-12-13-16-44-01,0m36.229s
2016-12-13-16-55-01,0m28.076s
2016-12-13-17-11-01,0m10.030s
2016-12-13-17-22-01,0m31.080s
2016-12-13-17-33-01,0m30.899s
2016-12-13-17-44-01,0m32.003s
2016-12-13-17-55-01,0m30.048s
2016-12-13-18-11-02,0m30.490s
2016-12-13-18-22-01,0m27.959s
2016-12-13-18-33-02,0m29.157s
2016-12-13-18-44-01,0m28.027s
2016-12-13-18-55-01,0m27.038s
2016-12-13-19-11-01,0m33.802s
2016-12-13-19-22-01,0m29.601s
2016-12-13-19-33-01,0m30.715s
2016-12-13-19-44-01,0m32.331s
2016-12-13-19-55-01,0m28.870s
2016-12-13-20-11-02,0m37.261s
2016-12-13-20-22-01,0m28.756s
2016-12-13-20-33-01,0m30.073s
2016-12-13-20-44-01,1m10.115s
2016-12-13-20-55-01,0m35.894s
2016-12-14-08-11-01,0m28.766s
2016-12-14-08-22-01,0m31.322s
2016-12-14-08-33-01,0m32.170s
2016-12-14-08-44-01,0m30.835s
2016-12-14-08-55-01,0m31.600s
2016-12-14-09-11-02,0m36.185s
2016-12-14-09-22-01,0m33.890s
2016-12-14-09-33-01,0m33.960s
2016-12-14-09-44-01,0m36.495s
2016-12-14-09-55-02,0m32.005s
2016-12-14-10-11-02,0m29.431s
2016-12-14-10-22-01,0m32.737s
2016-12-14-10-33-02,0m40.737s
2016-12-14-10-44-01,0m30.726s
2016-12-14-10-55-01,0m31.083s
2016-12-14-11-11-01,0m28.233s
2016-12-14-11-22-01,0m35.572s
2016-12-14-11-33-01,0m31.879s
2016-12-14-11-44-02,0m30.741s
2016-12-14-11-55-01,0m33.253s
2016-12-14-12-11-01,0m33.598s
2016-12-14-12-22-01,0m28.252s
2016-12-14-12-33-01,0m29.048s
2016-12-14-12-44-01,0m34.523s
2016-12-14-12-55-01,0m29.556s
2016-12-14-13-11-01,0m31.718s
2016-12-14-13-22-01,0m37.458s
2016-12-14-13-33-02,0m36.343s
2016-12-14-13-44-01,0m29.775s
2016-12-14-13-55-02,0m42.410s
2016-12-14-14-11-01,0m29.119s
2016-12-14-14-22-02,0m28.048s
2016-12-14-14-33-01,0m30.046s
2016-12-14-14-44-01,0m41.540s
2016-12-14-14-55-01,0m29.922s
2016-12-14-15-11-01,0m46.218s
2016-12-14-15-22-02,0m30.721s
2016-12-14-15-33-02,0m38.411s
2016-12-14-15-44-01,0m29.185s
2016-12-14-15-55-01,0m29.051s
2016-12-14-16-11-01,0m30.980s
2016-12-14-16-22-01,0m28.303s
2016-12-14-16-33-01,0m30.244s
2016-12-14-16-44-01,0m29.642s
2016-12-14-16-55-01,0m32.533s
2016-12-14-17-11-01,0m34.112s
2016-12-14-17-22-01,0m27.306s
2016-12-14-17-33-02,0m29.409s
2016-12-14-17-44-01,0m31.657s
2016-12-14-17-55-02,0m30.293s
